year,month,day,rent_office_number,age,time
2022,9,1,113,20,107
2022,9,1,118,20,21
2022,9,1,114,20,112
2022,9,1,114,20,8
2022,9,1,142,20,35
2022,9,1,143,20,70
2022,9,1,144,20,69
2022,9,1,145,20,48
2022,9,1,146,20,263
2022,9,1,147,20,97
2022,9,1,150,20,71
2022,9,1,119,20,8
2022,9,1,153,20,63
2022,9,1,154,20,195
2022,9,1,155,20,28
2022,9,1,156,20,13
2022,9,1,157,20,133
2022,9,1,487,20,79
2022,9,1,488,20,66
2022,9,1,489,20,17
2022,9,1,490,20,15
2022,9,1,491,20,11
2022,9,1,492,20,59
2022,9,1,493,20,234
2022,9,1,494,20,37
2022,9,1,495,20,69
2022,9,1,497,20,234
2022,9,1,498,20,139
2022,9,1,3002,20,221
2022,9,1,3005,20,46
2022,9,1,3005,20,12
2022,9,1,3007,20,52
2022,9,1,3008,20,19
2022,9,1,3009,20,240
2022,9,1,3009,20,6
2022,9,1,3010,20,296
2022,9,1,3011,20,150
2022,9,1,120,20,4
2022,9,1,121,20,2
2022,9,1,122,20,27
2022,9,1,4202,20,11
2022,9,1,4206,20,22
2022,9,1,4207,20,72
2022,9,1,4208,20,38
2022,9,1,4210,20,56
2022,9,1,4211,20,71
2022,9,1,4211,20,6
2022,9,1,4212,20,58
2022,9,1,4213,20,157
2022,9,1,4213,20,21
2022,9,1,124,20,60
2022,9,1,125,20,63
2022,9,1,126,20,57
2022,9,1,4216,20,84
2022,9,1,127,20,54
2022,9,1,4217,20,862
2022,9,1,4218,20,294
2022,9,1,4220,20,30
2022,9,1,4220,20,16
2022,9,1,4224,20,34
2022,9,1,4226,20,94
2022,9,1,4233,20,389
2022,9,1,4238,20,57
2022,9,1,4222,20,77
2022,9,1,4244,20,66
2022,9,1,4247,20,6
2022,9,1,4248,20,40
2022,9,1,4251,20,10
2022,9,1,129,20,22
2022,9,1,130,20,95
2022,9,1,130,20,37
2022,9,1,181,20,112
2022,9,1,182,20,42
2022,9,1,183,20,193
2022,9,1,184,20,319
2022,9,1,185,20,176
2022,9,1,102,20,165
2022,9,1,199,20,65
2022,9,1,103,20,299
2022,9,1,103,20,21
2022,9,1,104,20,44
2022,9,1,104,20,22
2022,9,1,105,20,54
2022,9,1,401,20,27
2022,9,1,402,20,97
2022,9,1,403,20,9
2022,9,1,106,20,283
2022,9,1,405,20,4
2022,9,1,406,20,62
2022,9,1,406,20,55
2022,9,1,421,20,73
2022,9,1,407,20,58
2022,9,1,408,20,51
2022,9,1,409,20,135
2022,9,1,419,20,47
2022,9,1,410,20,7
2022,9,1,418,20,55
2022,9,1,107,20,122
2022,9,1,411,20,71
2022,9,1,412,20,73
2022,9,1,412,20,62
2022,9,1,417,20,106
2022,9,1,414,20,48
2022,9,1,415,20,131
2022,9,1,416,20,51
2022,9,1,426,20,163
2022,9,1,108,30,54
2022,9,1,109,30,6
2022,9,1,109,30,2
2022,9,1,400,30,68
2022,9,1,427,30,120
2022,9,1,427,30,10
2022,9,1,112,30,64
2022,9,1,436,30,50
2022,9,1,437,30,11
2022,9,1,438,30,77
2022,9,1,440,30,51
2022,9,1,113,30,230
2022,9,1,118,30,55
2022,9,1,114,30,92
2022,9,1,142,30,6
2022,9,1,144,30,94
2022,9,1,145,30,101
2022,9,1,146,30,125
2022,9,1,147,30,22
2022,9,1,147,30,14
2022,9,1,148,30,97
2022,9,1,150,30,31
2022,9,1,119,30,91
2022,9,1,153,30,39
2022,9,1,154,30,223
2022,9,1,155,30,5
2022,9,1,156,30,25
2022,9,1,157,30,19
2022,9,1,487,30,48
2022,9,1,488,30,58
2022,9,1,489,30,90
2022,9,1,490,30,5
2022,9,1,491,30,43
2022,9,1,492,30,14
2022,9,1,493,30,34
2022,9,1,495,30,43
2022,9,1,497,30,70
2022,9,1,497,30,36
2022,9,1,498,30,69
2022,9,1,3002,30,289
2022,9,1,3007,30,34
2022,9,1,3008,30,31
2022,9,1,3009,30,143
2022,9,1,3010,30,64
2022,9,1,4202,30,23
2022,9,1,4206,30,10
2022,9,1,4207,30,31
2022,9,1,4208,30,45
2022,9,1,4210,30,22
2022,9,1,4212,30,46
2022,9,1,4213,30,143
2022,9,1,4214,30,2
2022,9,1,126,30,69
2022,9,1,4216,30,107
2022,9,1,127,30,19
2022,9,1,4217,30,643
2022,9,1,4217,30,41
2022,9,1,4218,30,56
2022,9,1,4220,30,143
2022,9,1,4221,30,6
2022,9,1,4226,30,7
2022,9,1,4233,30,122
2022,9,1,4238,30,6
2022,9,1,4222,30,84
2022,9,1,4244,30,26
2022,9,1,4247,30,10
2022,9,1,4248,30,36
2022,9,1,4251,30,7
2022,9,1,129,30,43
2022,9,1,181,30,124
2022,9,1,182,30,69
2022,9,1,183,30,100
2022,9,1,184,30,145
2022,9,1,184,30,9
2022,9,1,185,30,29
2022,9,1,186,30,25
2022,9,1,102,30,180
2022,9,1,199,30,18
2022,9,1,103,30,81
2022,9,1,103,30,35
2022,9,1,104,30,19
2022,9,1,401,30,35
2022,9,1,402,30,16
2022,9,1,403,30,62
2022,9,1,106,30,92
2022,9,1,405,30,19
2022,9,1,421,30,157
2022,9,1,407,30,44
2022,9,1,408,30,7
2022,9,1,409,30,159
2022,9,1,419,30,382
2022,9,1,418,30,27
2022,9,1,107,30,42
2022,9,1,411,30,54
2022,9,1,412,30,65
2022,9,1,412,30,31
2022,9,1,413,30,41
2022,9,1,417,30,63
2022,9,1,414,30,113
2022,9,1,415,30,96
2022,9,1,416,30,78
2022,9,1,426,30,108
2022,9,1,108,40,5
2022,9,1,400,40,25
2022,9,1,427,40,42
2022,9,1,111,40,50
2022,9,1,437,40,5
2022,9,1,438,40,20
2022,9,1,113,40,116
2022,9,1,118,40,7
2022,9,1,114,40,54
2022,9,1,144,40,19
2022,9,1,146,40,46
2022,9,1,147,40,37
2022,9,1,148,40,99
2022,9,1,119,40,80
2022,9,1,154,40,73
2022,9,1,487,40,6
2022,9,1,488,40,40
2022,9,1,489,40,10
2022,9,1,491,40,6
2022,9,1,492,40,89
2022,9,1,493,40,89
2022,9,1,494,40,32
2022,9,1,497,40,15
2022,9,1,3002,40,66
2022,9,1,3006,40,3
2022,9,1,3010,40,29
2022,9,1,3010,40,19
2022,9,1,122,40,9
2022,9,1,4208,40,82
2022,9,1,4214,40,25
2022,9,1,127,40,10
2022,9,1,4217,40,223
2022,9,1,4218,40,15
2022,9,1,4220,40,29
2022,9,1,4226,40,7
2022,9,1,4233,40,8
2022,9,1,4238,40,28
2022,9,1,4239,40,36
2022,9,1,4222,40,22
2022,9,1,4244,40,33
2022,9,1,182,40,18
2022,9,1,183,40,15
2022,9,1,184,40,30
2022,9,1,186,40,66
2022,9,1,102,40,49
2022,9,1,103,40,63
2022,9,1,104,40,39
2022,9,1,401,40,17
2022,9,1,402,40,3
2022,9,1,403,40,7
2022,9,1,405,40,58
2022,9,1,421,40,15
2022,9,1,421,40,26
2022,9,1,407,40,22
2022,9,1,408,40,8
2022,9,1,419,40,15
2022,9,1,410,40,5
2022,9,1,418,40,322
2022,9,1,411,40,63
2022,9,1,412,40,22
2022,9,1,413,40,16
2022,9,1,417,40,16
2022,9,1,414,40,48
2022,9,1,415,40,46
2022,9,1,416,40,26
2022,9,1,109,50,45
2022,9,1,400,50,18
2022,9,1,427,50,14
2022,9,1,437,50,3
2022,9,1,113,50,49
2022,9,1,114,50,30
2022,9,1,114,50,31
2022,9,1,143,50,7
2022,9,1,147,50,77
2022,9,1,153,50,12
2022,9,1,154,50,23
2022,9,1,155,50,32
2022,9,1,156,50,5
2022,9,1,157,50,2
2022,9,1,487,50,87
2022,9,1,488,50,20
2022,9,1,490,50,7
2022,9,1,491,50,9
2022,9,1,492,50,15
2022,9,1,493,50,59
2022,9,1,497,50,58
2022,9,1,3002,50,7
2022,9,1,4202,50,22
2022,9,1,4207,50,7
2022,9,1,4211,50,4
2022,9,1,126,50,35
2022,9,1,4217,50,175
2022,9,1,4226,50,6
2022,9,1,4233,50,50
2022,9,1,4222,50,24
2022,9,1,4251,50,7
2022,9,1,183,50,9
2022,9,1,184,50,45
2022,9,1,186,50,102
2022,9,1,102,50,38
2022,9,1,103,50,44
2022,9,1,106,50,44
2022,9,1,406,50,40
2022,9,1,421,50,79
2022,9,1,409,50,41
2022,9,1,418,50,19
2022,9,1,107,50,85
2022,9,1,411,50,10
2022,9,1,425,50,16
2022,9,1,400,60,28
2022,9,1,156,60,43
2022,9,1,157,60,16
2022,9,1,487,60,51
2022,9,1,4214,60,54
2022,9,1,4224,60,25
2022,9,1,4226,60,8
2022,9,1,4222,60,10
2022,9,1,102,60,26
2022,9,1,421,60,21
2022,9,1,419,60,8
2022,9,1,418,60,54
2022,9,1,412,60,47
2022,9,1,111,70~,13
2022,9,1,4217,70~,27
2022,9,1,4224,70~,13
2022,9,1,4247,70~,7
2022,9,1,184,70~,10
2022,9,1,405,70~,8
2022,9,1,108,NA,4
2022,9,1,400,NA,4
2022,9,1,427,NA,7
2022,9,1,112,NA,9
2022,9,1,437,NA,32
2022,9,1,438,NA,28
2022,9,1,113,NA,20
2022,9,1,143,NA,35
2022,9,1,144,NA,50
2022,9,1,145,NA,2
2022,9,1,146,NA,27
2022,9,1,147,NA,92
2022,9,1,119,NA,153
2022,9,1,153,NA,76
2022,9,1,154,NA,36
2022,9,1,157,NA,3
2022,9,1,487,NA,18
2022,9,1,488,NA,17
2022,9,1,490,NA,6
2022,9,1,492,NA,7
2022,9,1,494,NA,2
2022,9,1,495,NA,6
2022,9,1,3002,NA,146
2022,9,1,3007,NA,21
2022,9,1,3009,NA,81
2022,9,1,3010,NA,19
2022,9,1,3011,NA,1
2022,9,1,4202,NA,3
2022,9,1,4208,NA,55
2022,9,1,4210,NA,12
2022,9,1,4210,NA,12
2022,9,1,4213,NA,24
2022,9,1,4217,NA,80
2022,9,1,4218,NA,22
2022,9,1,4220,NA,90
2022,9,1,4224,NA,45
2022,9,1,4238,NA,31
2022,9,1,4238,NA,5
2022,9,1,130,NA,5
2022,9,1,181,NA,60
2022,9,1,182,NA,5
2022,9,1,183,NA,21
2022,9,1,184,NA,65
2022,9,1,186,NA,72
2022,9,1,102,NA,68
2022,9,1,103,NA,161
2022,9,1,401,NA,44
2022,9,1,402,NA,28
2022,9,1,403,NA,2
2022,9,1,405,NA,36
2022,9,1,421,NA,68
2022,9,1,420,NA,38
2022,9,1,409,NA,112
2022,9,1,418,NA,14
2022,9,1,107,NA,9
2022,9,1,411,NA,16
2022,9,1,412,NA,10
2022,9,1,413,NA,14
2022,9,1,417,NA,21
2022,9,1,414,NA,15
2022,9,1,414,NA,6
2022,9,1,416,NA,14
2022,9,1,424,NA,16
2022,9,1,426,NA,7
2022,9,1,400,~10,14
2022,9,1,427,~10,7
2022,9,1,438,~10,13
2022,9,1,113,~10,18
2022,9,1,118,~10,5
2022,9,1,144,~10,11
2022,9,1,145,~10,17
2022,9,1,147,~10,3
2022,9,1,148,~10,5
2022,9,1,487,~10,28
2022,9,1,488,~10,67
2022,9,1,3002,~10,7
2022,9,1,124,~10,5
2022,9,1,126,~10,5
2022,9,1,4217,~10,251
2022,9,1,4220,~10,6
2022,9,1,4221,~10,15
2022,9,1,4224,~10,40
2022,9,1,4226,~10,25
2022,9,1,4233,~10,18
2022,9,1,4239,~10,23
2022,9,1,4222,~10,6
2022,9,1,4248,~10,30
2022,9,1,129,~10,22
2022,9,1,130,~10,20
2022,9,1,183,~10,5
2022,9,1,102,~10,6
2022,9,1,401,~10,4
2022,9,1,406,~10,4
2022,9,1,408,~10,63
2022,9,1,409,~10,10
2022,9,1,410,~10,23
2022,9,1,418,~10,25
2022,9,1,414,~10,26
2022,9,1,415,~10,7
2022,9,1,426,~10,19
2022,9,1,108,20,99
2022,9,1,109,20,47
2022,9,1,400,20,44
2022,9,1,427,20,9
2022,9,1,111,20,90
2022,9,1,112,20,181
2022,9,1,436,20,48
2022,9,1,437,20,38
2022,9,1,437,20,6
2022,9,1,438,20,26
2022,9,1,440,20,61
2022,9,1,113,20,351
2022,9,1,113,20,29
2022,9,1,118,20,10
2022,9,1,114,20,86
2022,9,1,142,20,5
2022,9,1,143,20,72
2022,9,1,144,20,188
2022,9,1,144,20,34
2022,9,1,145,20,13
2022,9,1,146,20,95
2022,9,1,147,20,371
2022,9,1,148,20,81
2022,9,1,150,20,59
2022,9,1,119,20,110
2022,9,1,153,20,122
2022,9,1,154,20,83
2022,9,1,155,20,20
2022,9,1,156,20,10
2022,9,1,157,20,6
2022,9,1,487,20,84
2022,9,1,488,20,75
2022,9,1,489,20,10
2022,9,1,490,20,48
2022,9,1,492,20,67
2022,9,1,493,20,104
2022,9,1,494,20,33
2022,9,1,497,20,138
2022,9,1,498,20,84
2022,9,1,3002,20,131
2022,9,1,3006,20,9
2022,9,1,3007,20,18
2022,9,1,3008,20,11
2022,9,1,3009,20,137
2022,9,1,3010,20,274
2022,9,1,3011,20,86
2022,9,1,120,20,98
2022,9,1,121,20,24
2022,9,1,122,20,38
2022,9,1,4202,20,52
2022,9,1,4206,20,8
2022,9,1,4207,20,5
2022,9,1,4208,20,13
2022,9,1,4210,20,50
2022,9,1,4212,20,22
2022,9,1,4213,20,161
2022,9,1,4214,20,21
2022,9,1,124,20,40
2022,9,1,125,20,99
2022,9,1,126,20,142
2022,9,1,127,20,15
2022,9,1,4217,20,233
2022,9,1,4218,20,77
2022,9,1,4220,20,29
2022,9,1,4221,20,82
2022,9,1,4224,20,47
2022,9,1,4226,20,18
2022,9,1,4226,20,10
2022,9,1,4233,20,83
2022,9,1,4234,20,11
2022,9,1,4238,20,87
2022,9,1,4222,20,38
2022,9,1,4244,20,7
2022,9,1,4246,20,29
2022,9,1,4248,20,78
2022,9,1,4251,20,34
2022,9,1,129,20,18
2022,9,1,130,20,61
2022,9,1,181,20,88
2022,9,1,181,20,5
2022,9,1,182,20,92
2022,9,1,183,20,65
2022,9,1,184,20,99
2022,9,1,185,20,5
2022,9,1,186,20,53
2022,9,1,102,20,124
2022,9,1,102,20,8
2022,9,1,199,20,10
2022,9,1,103,20,64
2022,9,1,104,20,25
2022,9,1,105,20,13
2022,9,1,401,20,71
2022,9,1,402,20,11
2022,9,1,403,20,14
2022,9,1,403,20,4
2022,9,1,106,20,250
2022,9,1,405,20,23
2022,9,1,406,20,75
2022,9,1,421,20,74
2022,9,1,420,20,13
2022,9,1,409,20,98
2022,9,1,419,20,68
2022,9,1,410,20,5
2022,9,1,418,20,4
2022,9,1,107,20,84
2022,9,1,411,20,32
2022,9,1,412,20,53
2022,9,1,417,20,23
2022,9,1,414,20,125
2022,9,1,414,20,15
2022,9,1,415,20,198
2022,9,1,416,20,4
2022,9,1,416,20,9
2022,9,1,424,20,6
